Service Price Name	Healthcare Service	Price Type	Currency	Service Charge	Group Name (If Applicable)
Takoradi Renal Clinic Cons - (Follow-Up)	Renal Clinic	Fixed Price	GHS	77	
Anaesthetist Follow Up Cash (GH Resident)	Anaesthetist	Fixed Price	GHS	278	
Takoradi Psychiatrist Cons - (Cash)	Psychiatry	Fixed Price	GHS	220	
Anaesthetist Follow Up Cash (Non Resident)	Anaesthetist	Fixed Price	GHS	334	
Dietitian Follow Up Deposit account (Phoenix Insurance)	Dietitian	Fixed Price	GHS	278	
Takoradi Psychotherapy Cons - (Cash)	Clinical Psychologist	Fixed Price	GHS	220	
Takoradi Ophtalmology Cons - (Follow Up)	Ophtalmology	Fixed Price	GHS	77	
Psychiatrist Cons cash (GH Resident)	Psychiatry	Fixed Price	GHS	450	
Takoradi Obs & Gynae - (Credit)	Obs & Gynae	Fixed Price	GHS	233	
Psychotherapy Cons - (Local Insurance)	Clinical Psychologist	Fixed Price	GHS	563	Local insurance
Takoradi Psychotherapy Cons - (Credit)	Clinical Psychologist	Fixed Price	GHS	233	
RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT - Credit (Non Resident)	RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT	Fixed Price	GHS	3184.27	
Takoradi Audiologist Cons - (Credit)	Audiology	Fixed Price	GHS	233	
Dietitian Cons Deposit account (Premier Insurance )	Dietitian	Fixed Price	GHS	450	
Takoradi Psychotherapy Cons - (Follow-Up)	Clinical Psychologist	Fixed Price	GHS	77	
Takoradi Renal Clinic Cons - (Cash)	Renal Clinic	Fixed Price	GHS	220	
Takoradi GP Cons - (Follow Up)	GP Consultation	Fixed Price	GHS	55	
Psychiatrist Follow Up cash (Non Resident)	Psychiatry	Fixed Price	GHS	334	
Hepatitis Be Antibody - Foreign Cash	Hepatitis Be Antibody	Fixed Price	GHS	298	Foreign cash
Takoradi Physiotherapist - (Credit)	Physiotherapy	Fixed Price	GHS	233	
Cardiotocograph / CTG - Foreign Credit	Cardiotocograph / CTG	Fixed Price	GHS	260	Foreign credit
Immunoglobulins (lgA, lgG, lgM) - (Local Insurance)	Immunoglobulins (lgA, lgG, lgM)	Fixed Price	GHS	477	Local insurance
Neurosurgeon Deposit Follow-up (Resident)	Neurosurgery	Fixed Price	GHS	278	
Anaesthetist Cons Cash (GH Resident)	Anaesthetist	Fixed Price	GHS	450	
Takoradi General Surgeon - (Credit) (Non Resident)	General Surgery	Fixed Price	GHS	280	
GP Consultation Metropolitan Insurance	GP Consultation	Fixed Price	GHS	214	
Neurosurgeon Cons credit (Resident)	Neurosurgery	Fixed Price	GHS	477	
Prostate-Specific Antigen (PSA) Screen, Serum (cash)	Prostate-Specific Antigen (PSA) Screen, Serum	Fixed Price	GHS	264	
Neurosurgeon Deposit (Resident) (Premier Insurance )	Neurosurgery	Fixed Price	GHS	450	
Takoradi Paediatrics Cons - (Credit) (Non Resident)	Paediatrics	Fixed Price	GHS	280	
Dietitian Cons Deposit account (Phoenix Insurance)	Dietitian	Fixed Price	GHS	450	
Takoradi General Surgeon - (Cash) (Non Resident)	General Surgery	Fixed Price	GHS	264	
Anaesthetist Follow up Deposit Account (Phoenix Insurance)	Anaesthetist	Fixed Price	GHS	278	
Takoradi Urologist Cash (Non Resident)	Urology	Fixed Price	GHS	264	
Urologist Follow Up Deposit account (Phoenix Insurance)	Urology	Fixed Price	GHS	278	
Plastic Surgeon Cons Deposit Account (GH Resident)	Plastic Surgery	Fixed Price	GHS	450	
GP Follow Up credit (Day 2-7) Non Resident	GP Consultation	Fixed Price	GHS	135	
Plastic Surgeon cons Credit (Non Resident)	Plastic Surgery	Fixed Price	GHS	595	
Anaesthetist Cons Deposit Account (Premier Insurance )	Anaesthetist	Fixed Price	GHS	450	
Psychiatrist Follow Up cash (GH Resident)	Psychiatry	Fixed Price	GHS	278	
Chronic Care Cons Deposit Account (Premier Insurance )	Chronic Care Cons	Fixed Price	GHS	450	
Prostate-Specific Antigen (PSA), Total and Free, Serum - Foreign Cash	Prostate-Specific Antigen (PSA), Total and Free, Serum	Fixed Price	GHS	317	Foreign cash
ENT Cons Deposit account (Premier Insurance)	ENT	Fixed Price	GHS	450	
Takoradi Audiologist Cons - (Credit) (Non Resident)	Audiology	Fixed Price	GHS	280	
Prostate-Specific Antigen (PSA) Screen, Serum (credit)	Prostate-Specific Antigen (PSA) Screen, Serum	Fixed Price	GHS	348	
Urologist Cons credit (GH Resident)	Urology	Fixed Price	GHS	477	
Urologist Cons cash (GH Resident)	Urology	Fixed Price	GHS	450	
Urologist Cons Deposit account	Urology	Fixed Price	GHS	450	
SARS-CoV-2 NUCLEIC ACID by RT-qPCR 24hrs Standard credit (Local Insurance)	SARS-CoV-2 NUCLEIC ACID by RT-qPCR 24hrs Standard	Fixed Price	GHS	371	Local insurance
CT-CHEST (PLAIN) - Foreign Credit	CT-CHEST (PLAIN)	Fixed Price	GHS	920	Foreign credit
Premier CT-UPPER ARM	CT-UPPER ARM	Fixed Price	GHS	1133	
Chronic Care Follow Up Deposit Account (Premier Insurance)	Chronic Care Cons	Fixed Price	GHS	328	
Fibrinogen - Foreign Credit	Fibrinogen	Fixed Price	GHS	402	Foreign credit
Premier CT- THORACIC SPINE	CT- THORACIC SPINE	Fixed Price	GHS	1414	
Premier CT-FOREARM	CT-FOREARM	Fixed Price	GHS	1133	
Premier CT- FOOT	CT- FOOT	Fixed Price	GHS	1414	
GP Consultation Deposit Account	GP Consultation	Fixed Price	GHS	202	
Chronic Care Follow Up Deposit Account (Phoenix Insurance)	Chronic Care Cons	Fixed Price	GHS	328	
Premier CT- PULMONARY ANGIOGRAM	CT- PULMONARY ANGIOGRAM	Fixed Price	GHS	1210	
Premier CT-LEG	CT-LEG	Fixed Price	GHS	1133	
Premier CT-BRAIN (ANGIO )	CT-BRAIN (ANGIO )	Fixed Price	GHS	2262	
Chronic Care Cons Deposit Account (Phoenix Insurance)	Chronic Care Cons	Fixed Price	GHS	450	
GP Consultation Glico Insurance	GP Consultation	Fixed Price	GHS	214	
GP Consultation Discount Account	GP Consultation	Fixed Price	GHS	189	
Fibrinogen - Foreign Cash	Fibrinogen	Fixed Price	GHS	379	Foreign cash
Plastic Surgeon Follow Up Deposit Account (GH Resident) (Premier Insurance )	Plastic Surgery	Fixed Price	GHS	278	
Premier CT-KNEE	CT-KNEE	Fixed Price	GHS	1133	
GP Consultation credit (GH Resident)	GP Consultation	Fixed Price	GHS	214	
Carcinoembryonic Antigen (CEA) - Foreign Credit	Carcinoembryonic Antigen (CEA)	Fixed Price	GHS	286	Foreign credit
Anaesthetist Cons Credit (Non Resident)	Anaesthetist	Fixed Price	GHS	609	
Premier CT-PELVIS	CT-PELVIS (RTA)	Fixed Price	GHS	1133	
CT-ABDO/PELVIS (WITH CONT) (Local Insurance)	CT-ABDO/PELVIS (WITH CONT)	Fixed Price	GHS	1410	Local insurance
CT-AORTOGRAM - Foreign Cash	CT-AORTOGRAM	Fixed Price	GHS	2412	Foreign cash
Premier CT-AORTOGRAM	CT-AORTOGRAM	Fixed Price	GHS	2010	
CT- PULMONARY ANGIOGRAM (Local Insurance)	CT- PULMONARY ANGIOGRAM	Fixed Price	GHS	1881	Local insurance
FP Consultation Cash Cons (Non-Resident)	Family Physician	Fixed Price	GHS	376	
Premier CT-FEMUR	CT-FEMUR	Fixed Price	GHS	1133	
Fibrinogen- (Local Insurance)	Fibrinogen	Fixed Price	GHS	335	Local insurance
GP Consultation cash (GH Resident)	GP Consultation	Fixed Price	GHS	202	
Premier CT-CHEST (PLAIN)	CT-CHEST (PLAIN)	Fixed Price	GHS	909	
Premier CT-ABDO/PELVIS (WITH CONT)	CT-ABDO/PELVIS (WITH CONT)	Fixed Price	GHS	1210	
HIV 1&2 SCREEN credit (Non Resident)	HIV 1&2 SCREEN	Fixed Price	GHS	197	
RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT - Credit (GH Resident)	RAST FOOD MIX (COW’S MILK, EGG WHITE, FISH, WHEAT, PEANUT & SOYA) &DAIRY PRODUCT	Fixed Price	GHS	2678.83	
CT- CERVICAL SPINE (Local Insurance)	CT- CERVICAL SPINE	Fixed Price	GHS	1499	Local insurance
Hepatitis B Virus Profile (credit)	Hepatitis B Virus Profile	Fixed Price	GHS	773	
CT-KNEE - Foreign Cash	CT-KNEE	Fixed Price	GHS	1360	Foreign cash
CT-UPPER ABDOMEN (WITH CONT) - Foreign Cash	CT-UPPER ABDOMEN (WITH CONT)	Fixed Price	GHS	1697	Foreign cash
Premier CT-UPPER ABDOMEN (WITH CONT)	CT-UPPER ABDOMEN (WITH CONT)	Fixed Price	GHS	1414	
CT- CERVICAL SPINE - Foreign Credit	CT- CERVICAL SPINE	Fixed Price	GHS	1799	Foreign credit
Dental Follow Up cash (GH Resident)	Dental clinic	Fixed Price	GHS	278	
X-RAY LEFT RAD/ULNA - Foreign Cash	X-RAY LEFT RAD/ULNA	Fixed Price	GHS	348	Foreign cash
Premier CT- CERVICAL SPINE	CT- CERVICAL SPINE	Fixed Price	GHS	1414	
Diagnostic mammogram and ultrasound panel Breast - left Document LHC-Forms - Foreign Cash	Diagnostic mammogram and ultrasound panel Breast - left Document LHC-Forms	Fixed Price	GHS	809	Foreign cash
Urologist Follow Up cash (GH Resident)	Urology	Fixed Price	GHS	278	
X-RAY LEFT CLAVICLE (Local Insurance)	X-RAY LEFT CLAVICLE	Fixed Price	GHS	307	Local insurance
Takoradi Urologist - (Cash)	Urology	Fixed Price	GHS	220	
Takoradi General Surgeon - (Credit)	General Surgery	Fixed Price	GHS	233	
CT-AORTOGRAM - Foreign Credit	CT-AORTOGRAM	Fixed Price	GHS	2557	Foreign credit
CT-BRAIN (ICSOL) - Foreign Cash	CT-BRAIN (ICSOL)	Fixed Price	GHS	1697	Foreign cash
CT-BRAIN (ICSOL) - Foreign Credit	CT-BRAIN (ICSOL)	Fixed Price	GHS	1799	Foreign credit
CT-BRAIN (WITH CONTRAST) - Foreign Cash	CT-BRAIN (WITH CONTRAST)	Fixed Price	GHS	1921	Foreign cash
CT-BRAIN (WITH CONTRAST) (Local Insurance)	CT-BRAIN (WITH CONTRAST)	Fixed Price	GHS	1697	Local insurance
CT-BRAIN (WITH CONTRAST) - Foreign Credit	CT-BRAIN (WITH CONTRAST)	Fixed Price	GHS	2036	Foreign credit
Anti-Doublestranded Deoxyribonucleic Acid - (Local Insurance)	Anti-Doublestranded Deoxyribonucleic Acid	Fixed Price	GHS	343	Local insurance
Premier CT-LUMBAR SPINE	CT-LUMBAR SPINE	Fixed Price	GHS	1414	
CT-CHEST (PLAIN) - Foreign Cash	CT-CHEST (PLAIN)	Fixed Price	GHS	868	Foreign cash
Bacteria identified in Sputum by Culture (credit) Local Insurance	Bacteria identified in Sputum by Culture	Fixed Price	GHS	276	Local insurance
Neurosurgeon Deposit (Resident) (Phoenix Insurance)	Neurosurgery	Fixed Price	GHS	450	
CT- CERVICAL SPINE - Foreign Cash	CT- CERVICAL SPINE	Fixed Price	GHS	1697	Foreign cash
CT-BRAIN (ICSOL) (Local Insurance)	CT-BRAIN (ICSOL)	Fixed Price	GHS	1499	Local insurance
GP Consultatoion Deposit Accunt(Premier Insurance )	GP Consultation	Fixed Price	GHS	202	
CT-KNEE - Foreign Credit	CT-KNEE	Fixed Price	GHS	1442	Foreign credit
Lipid Panel, Fasting, Serum -Foreign Cash	Lipid Panel, Fasting, Serum	Fixed Price	GHS	310	Foreign cash
CT-CHEST (PLAIN) (Local Insurance)	CT-CHEST (PLAIN)	Fixed Price	GHS	766	Local insurance
SARS-CoV-2 NUCLEIC ACID by RT-qPCR 24hrs Standard cash (GH Resident)	SARS-CoV-2 NUCLEIC ACID by RT-qPCR 24hrs Standard	Fixed Price	GHS	350	
TFT credit (Non Resident)	TFT	Fixed Price	GHS	448	
Protein S - (Credit) Non Resident	Protein S	Fixed Price	GHS	1037	
Cardiologist Follow Up cash (GH Resident)	Cardiology	Fixed Price	GHS	278	
Takoradi Urologist - (Follow Up)	Urology	Fixed Price	GHS	77	
Takoradi Physician Specialist - (Cash) (Non Resident)	Physician Specilaist	Fixed Price	GHS	264	
Obs & Gynae cash Cons (GH Resident)	Obs & Gynae	Fixed Price	GHS	450	
Physician Specialist credit Cons (Non Resident)	Physician Specilaist	Fixed Price	GHS	609	
Physician Specialist	Physician Specilaist	Fixed Price	GHS	0	
Physician Specialist cash Follow up (GH Resident)	Physician Specilaist	Fixed Price	GHS	278	
Physician Specialist Follow up Deposit Account	Physician Specilaist	Fixed Price	GHS	326	
Physician Specialist credit Follow up (Non Resident)	Physician Specilaist	Fixed Price	GHS	385	
Physician Specialist credit Follow up (GH Resident)	Physician Specilaist	Fixed Price	GHS	295	
Physician Specialist cash Follow up (Non Resident)	Physician Specilaist	Fixed Price	GHS	334	
Paediatrics Cons credit (GH Resident)	Paediatrics	Fixed Price	GHS	477	
Physician Specialist Follow Up - (Local Insurance)	Physician Specilaist	Fixed Price	GHS	295	Local insurance
Anti Smooth Muscle Antibody - Foreign Credit	Anti Smooth Muscle Antibody	Fixed Price	GHS	490	Foreign credit
Takoradi Obs & Gynae - (Cash) (Non Resident)	Obs & Gynae	Fixed Price	GHS	264	
Obs & Gynae Deposit Account ( Phoenix Insurance )	Obs & Gynae	Fixed Price	GHS	450	
Obs & Gynae cash Follow up (Non Resident)	Obs & Gynae	Fixed Price	GHS	334	
Obs & Gynae Follow up Deposit Account(Phoenix Insurance)	Obs & Gynae	Fixed Price	GHS	278	
Obs & Gynae Follow Up - (Local Insurance)	Obs & Gynae	Fixed Price	GHS	295	Local insurance
Obs & Gynae credit Cons (GH Resident)	Obs & Gynae	Fixed Price	GHS	477	
Obs & Gynae Follow up Deposit Account	Obs & Gynae	Fixed Price	GHS	278	
Takoradi Urologist - (Credit)	Urology	Fixed Price	GHS	233	
Transferrin - Foreign Cash	Transferrin	Fixed Price	GHS	227	Foreign cash
Takoradi Obs & Gynae - (Credit) (Non Resident)	Obs & Gynae	Fixed Price	GHS	280	
Dental Follow Up credit (GH Resident)	Dental clinic	Fixed Price	GHS	295	
Chronic Care Follow Up Deposit Account	Chronic Care Cons	Fixed Price	GHS	326	
Physician Specialist cash Cons (GH Resident)	Physician Specilaist	Fixed Price	GHS	450	
Urologist Cons - (Local Insurance)	Urology	Fixed Price	GHS	477	Local insurance
Physiotherapist Cons Deposit account (RESIDENT)	Physiotherapy	Fixed Price	GHS	450	
Physiotherapist Follow Up Cash (Non Resident)	Physiotherapy	Fixed Price	GHS	334	
Paediatrics Cons cash (GH Resident)	Paediatrics	Fixed Price	GHS	450	
Takoradi Urologist Credit (Non Resident)	Urology	Fixed Price	GHS	280	
Orthopaedics Cons Deposit account (Premier Insurance )	Orthopaedics	Fixed Price	GHS	450	
Takoradi Orthopaedics - (Cash)	Orthopaedics	Fixed Price	GHS	220	
Takoradi Dental - (Follow Up)	Dental clinic	Fixed Price	GHS	77	
Takoradi Ophtalmology Cons - (Credit)	Ophtalmology	Fixed Price	GHS	233	
Renal Clinic Cons Follow-up CASH (NON-Resident)	Renal Clinic	Fixed Price	GHS	334	
Paediatrics Cons Deposit Account (Premier Insurance )	Paediatrics	Fixed Price	GHS	450	
Paediatrics Follow Up Deposit Account (Phoenix Insurance)	Paediatrics	Fixed Price	GHS	278	
Paediatrics Follow Up Deposit Account (Premier Insurance)	Paediatrics	Fixed Price	GHS	278	
Paediatrics Follow Up - (Local Insurance)	Paediatrics	Fixed Price	GHS	295	Local insurance
Takoradi Paediatrics Cons - (Cash) (Non Resident)	Paediatrics	Fixed Price	GHS	264	
Paediatrics Follow-up credit (Non-Resident)	Paediatrics	Fixed Price	GHS	385	
Paediatrics Follow-up credit (Resident)	Paediatrics	Fixed Price	GHS	295	
Paediatrics Follow-up cash (Resident)	Paediatrics	Fixed Price	GHS	278	
Takoradi Paediatrics Follow Up	Paediatrics	Fixed Price	GHS	77	
Urologist Follow Up cash (Non Resident)	Urology	Fixed Price	GHS	334	
GAB - ECG	ECG	Fixed Price	GHS	180	
Anaesthetist Follow Up Credit (Non Resident)	Anaesthetist	Fixed Price	GHS	328	
Takoradi Orthopaedics - (Follow Up)	Orthopaedics	Fixed Price	GHS	77	
Physiotherapist Follow Up credit (GH Resident)	Physiotherapy	Fixed Price	GHS	295	
Urologist Follow Up credit (Non Resident)	Urology	Fixed Price	GHS	385	
Renal Clinic Cons Follow-up CREDIT (Resident)	Renal Clinic	Fixed Price	GHS	385	
Anaesthetist Follow Up Credit ( Resident)	Anaesthetist	Fixed Price	GHS	295	
Takoradi Paediatrics Cons - (Cash)	Paediatrics	Fixed Price	GHS	220	
Paediatrics - (Local Insurance)	Paediatrics	Fixed Price	GHS	477	Local insurance
Anaesthetist Cons Deposit Account (Phoenix Insurance)	Anaesthetist	Fixed Price	GHS	450	
Takoradi Anaesthetist Cons - (Credit)	Anaesthetist	Fixed Price	GHS	233	
Ophtalmologist Cons Follow Up - (Local Insurance)	Ophtalmology	Fixed Price	GHS	295	Local insurance
Takoradi Paediatrics Cons - (Credit)	Paediatrics	Fixed Price	GHS	233	
Cardiolipin IgG Antibody - Cash (Gh Resident)	Cardiolipin IgG Antibody	Fixed Price	GHS	147	
Cardiolipin IgG Antibody - Credit (Gh Resident)	Cardiolipin IgG Antibody	Fixed Price	GHS	156	
Cardiolipin IgG Antibody - Cash (Non Resident)	Cardiolipin IgG Antibody	Fixed Price	GHS	176	
Cardiolipin IgG Antibody - Credit (Non Resident)	Cardiolipin IgG Antibody	Fixed Price	GHS	187	
Anti Thrombin III Antigen - Credit (Gh Resident)	Anti Thrombin III Antigen	Fixed Price	GHS	1258	
ENT Cons Follow Up - (Local Insurance)	ENT	Fixed Price	GHS	295	Local insurance
Dermatologist Follow up Credit ( Resident)	Dermatology	Fixed Price	GHS	295	
Takoradi Dermatologist Cons - (Credit)	Dermatology	Fixed Price	GHS	233	
Takoradi Dermatologist Cons - (Cash) (Non Resident)	Dermatology	Fixed Price	GHS	264	
Haematologist Cons cash (GH Resident)	Haematology	Fixed Price	GHS	450	
ENT Cons Credit (Non Resident)	ENT	Fixed Price	GHS	609	
Anti Thrombin III Activity - Cash (Non Resident)	Anti Thrombin III Activity	Fixed Price	GHS	972	
Anti Thrombin III Activity - Credit (Non Resident)	Anti Thrombin III Activity	Fixed Price	GHS	1021	
Takoradi Psychiatrist Cons - (Credit) (Non Resident)	Psychiatry	Fixed Price	GHS	280	
Psychiatrist Cons (Deposit account) (Phoenix Insurance)	Psychiatry	Fixed Price	GHS	450	
Anti Thrombin III Activity - Cash (Gh Resident)	Anti Thrombin III Activity	Fixed Price	GHS	810	
Anti Thrombin III Activity - Credit (Gh Resident)	Anti Thrombin III Activity	Fixed Price	GHS	859	
Takoradi Anaesthetist Cons - (Follow-Up)	Anaesthetist	Fixed Price	GHS	77	
Takoradi Haematologist Cons - (Credit) (Non Resident)	Haematology	Fixed Price	GHS	280	
Takoradi Haematologist Cons - (Cash) (Non Resident)	Haematology	Fixed Price	GHS	264	
Haematologist Cons (Deposit account)	Haematology	Fixed Price	GHS	450	
Takoradi Haematologist Cons - (Follow-Up)	Haematology	Fixed Price	GHS	77	
Haematologist Follow Up (Deposit account)	Haematology	Fixed Price	GHS	278	
Takoradi Haematologist Cons - (Credit)	Haematology	Fixed Price	GHS	233	
Haematologist Follow Up (Deposit account) (Phoenix Insurance)	Haematology	Fixed Price	GHS	278	
Prothrombin Gene Mutation - Cash (GH Resident)	Prothrombin Gene Mutation	Fixed Price	GHS	1500	
Prothrombin Gene Mutation - Credit (GH Resident)	Prothrombin Gene Mutation	Fixed Price	GHS	1590	
Prothrombin Gene Mutation - Cash (Non Resident)	Prothrombin Gene Mutation	Fixed Price	GHS	1800	
Prothrombin Gene Mutation - Credit (Non Resident)	Prothrombin Gene Mutation	Fixed Price	GHS	1908	
Extractable Nuclear Antigens - Credit (Non Resident)	Extractable Nuclear Antigens	Fixed Price	GHS	2544	
Factor V Gene Mutation - Cash (GH Resident)	Factor V Gene Mutation	Fixed Price	GHS	1350	
Factor V Gene Mutation - Credit (GH Resident)	Factor V Gene Mutation	Fixed Price	GHS	1431	
Factor V Gene Mutation - Cash (Non Resident)	Factor V Gene Mutation	Fixed Price	GHS	1620	
Factor V Gene Mutation - Credit (Non Resident)	Factor V Gene Mutation	Fixed Price	GHS	1717	
Takoradi Dietitian Cons - (Credit) (Non Resident)	Dietitian	Fixed Price	GHS	280	
Haematologist Cons Follow Up - (Local Insurance)	Haematology	Fixed Price	GHS	295	Local insurance
Haematologist Follow Up (Deposit account) (Premier Insurance )	Haematology	Fixed Price	GHS	278	
Takoradi Dietitian Cons - (Follow Up)	Dietitian	Fixed Price	GHS	77	
Skin Snip - Foreign Cash	Skin Snip	Fixed Price	GHS	202	Foreign cash
Dietitian Cons Follow Up - (Local Insurance)	Dietitian	Fixed Price	GHS	295	Local insurance
Dietitian Follow Up credit (GH Resident)	Dietitian	Fixed Price	GHS	295	
Anti Thrombin III Antigen - Cash (Non Resident)	Anti Thrombin III Antigen	Fixed Price	GHS	1424	
Anti Thrombin III Antigen - Credit (Non Resident)	Anti Thrombin III Antigen	Fixed Price	GHS	1510	
Skin Snip - Credit (Gh Resident)	Skin Snip	Fixed Price	GHS	169	
Takoradi Dietitian Cons - (Cash)	Dietitian	Fixed Price	GHS	220	
GP Consultation credit (Non Resident)	GP Consultation	Fixed Price	GHS	257	
Dental Cons Follow Up - (Local Insurance)	Dental clinic	Fixed Price	GHS	295	Local insurance
Haematologist Cons (Deposit account) (Phoenix Insurance)	Haematology	Fixed Price	GHS	450	
Dietitian Follow Up credit (Non Resident)	Dietitian	Fixed Price	GHS	385	
Dietitian Cons cash(GH Resident)	Dietitian	Fixed Price	GHS	450	
Skin Snip - Cash (Gh Resident)	Skin Snip	Fixed Price	GHS	159	
Physiotherapist Cons Deposit account (NON RESIDENT)	Physiotherapy	Fixed Price	GHS	540	
CA 19-9 - Cash (Gh Resident)	CA 19-9	Fixed Price	GHS	214	
CA 19-9 - Cash (Non Resident)	CA 19-9	Fixed Price	GHS	283	
CA 19-9 - Credit (Gh Resident)	CA 19-9	Fixed Price	GHS	223	
NC1 - Full Blood Count (FBC) without comment Credit (GH Resident)	NC1 - Full Blood Count (FBC) without comment	Fixed Price	GHS	100	
NC1 - Full Blood Count (FBC) without comment Cash (GH Resident)	NC1 - Full Blood Count (FBC) without comment	Fixed Price	GHS	94	
NC1 - Full Blood Count (FBC) without comment - Credit (Non-Resident)	NC1 - Full Blood Count (FBC) without comment	Fixed Price	GHS	118	
GAB NC1 - Full Blood Count (FBC) without comment	NC1 - Full Blood Count (FBC) without comment	Fixed Price	GHS	75	
MALARIA BF (Thin + Thick) cash (Non Resident)	MALARIA BF (Thin + Thick)	Fixed Price	GHS	58	
MALARIA BF (Thin + Thick) credit (Non Resident)	MALARIA BF (Thin + Thick)	Fixed Price	GHS	58	
MALARIA BF (Thin + Thick) credit (Local Insurance)	MALARIA BF (Thin + Thick)	Fixed Price	GHS	63	Local insurance
GAB - MALARIA BF (Thin + Thick)	MALARIA BF (Thin + Thick)	Fixed Price	GHS	55	
Protein C - (Cash) Gh Resident	Protein C	Fixed Price	GHS	720	
Protein C - (Credit) GH Resident	Protein C	Fixed Price	GHS	763	
Protein C - (Cash) Non Resident	Protein C	Fixed Price	GHS	864	
Protein C - (Credit) Non Resident	Protein C	Fixed Price	GHS	1037	
FASTING BLOOD GLUCOSE cash (Non Resident)	FASTING BLOOD GLUCOSE	Fixed Price	GHS	107	
FASTING BLOOD GLUCOSE cash (GH Resident)	FASTING BLOOD GLUCOSE	Fixed Price	GHS	99	
FASTING BLOOD GLUCOSE credit (Local Insurance)	FASTING BLOOD GLUCOSE	Fixed Price	GHS	105	Local insurance
